,Player,Team,AGE,GP_x,W,L,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Year,累積前三隊,當年有無入選,勝率,position,DFG_percent,DIFF_percent,year
0,Kevin Durant,OKC,25,81,58,23,38.5,32.0,20.8,50.3,6.1,39.1,9.9,87.3,0.7,6.7,7.4,5.5,3.5,1.3,0.7,2.1,51.6,27,3,6.3,2014,4,True,0.72,F,50.8,-4.4,2014
1,Carmelo Anthony,NYK,30,77,35,42,38.7,27.4,21.3,45.2,5.4,40.2,7.0,84.8,1.9,6.2,8.1,3.1,2.6,1.2,0.7,2.9,45.0,22,0,1.4,2014,6,False,0.45,F,55.9,1.3,2014
2,LeBron James,MIA,29,77,52,25,37.7,27.1,17.6,56.7,4.0,37.9,7.6,75.0,1.1,5.9,6.9,6.3,3.5,1.6,0.3,1.6,47.2,12,1,5.3,2014,9,True,0.68,F,56.9,2.6,2014
3,Kevin Love,MIN,25,77,39,38,36.3,26.1,18.5,45.7,6.6,37.6,8.2,82.1,2.9,9.6,12.5,4.4,2.5,0.8,0.5,1.8,48.9,65,3,4.6,2014,1,True,0.51,F-C,58.3,3.2,2014
4,James Harden,HOU,24,73,48,25,38.0,25.4,16.5,45.6,6.6,36.6,9.1,86.6,0.8,3.9,4.7,6.1,3.6,1.6,0.4,2.4,42.5,14,1,5.6,2014,1,True,0.66,G,55.2,0.3,2014
5,Blake Griffin,LAC,25,80,56,24,35.8,24.1,17.0,52.8,0.6,27.3,8.4,71.5,2.4,7.1,9.5,3.9,2.8,1.2,0.6,3.3,43.8,43,1,7.1,2014,2,True,0.7,F,53.1,-1.8,2014
6,Stephen Curry,GSW,26,78,50,28,36.5,24.0,17.7,47.1,7.9,42.4,4.5,88.5,0.6,3.7,4.3,8.5,3.8,1.6,0.2,2.5,43.7,28,4,7.4,2014,0,True,0.64,G,60.4,5.6,2014
7,LaMarcus Aldridge,POR,28,69,46,23,36.2,23.2,20.6,45.8,0.2,20.0,5.2,82.2,2.4,8.7,11.1,2.6,1.8,0.9,1.0,2.1,44.3,40,0,5.3,2014,1,True,0.67,F,51.0,-4.1,2014
8,DeMarcus Cousins,SAC,23,71,28,43,32.4,22.7,16.8,49.6,0.1,0.0,8.4,72.6,3.1,8.6,11.7,2.9,3.5,1.5,1.3,3.8,46.1,53,0,-0.2,2014,0,False,0.39,C,50.9,-4.5,2014
9,DeMar DeRozan,TOR,24,79,45,34,38.2,22.7,17.8,42.9,2.7,30.5,8.0,82.4,0.6,3.7,4.3,4.0,2.2,1.1,0.4,2.5,35.9,2,0,2.3,2014,0,False,0.57,G,62.1,6.8,2014
10,Al Jefferson,CHA,29,73,38,35,35.0,21.8,18.8,50.9,0.2,20.0,3.8,69.0,2.1,8.7,10.8,2.1,1.7,0.9,1.1,2.4,42.3,42,0,0.4,2014,0,True,0.52,C,51.4,-3.2,2014
11,Russell Westbrook,OKC,25,46,34,12,30.7,21.8,17.2,43.7,4.7,31.8,6.4,82.6,1.2,4.5,5.7,6.9,3.8,1.9,0.2,2.3,41.4,11,2,4.8,2014,3,False,0.74,G,59.6,4.2,2014
12,Paul George,IND,24,80,54,26,36.2,21.7,17.0,42.4,6.3,36.4,5.8,86.4,0.8,6.0,6.8,3.5,2.8,1.9,0.3,2.5,38.8,12,1,4.6,2014,1,True,0.68,F-G,49.2,-6.1,2014
13,Dirk Nowitzki,DAL,36,80,48,32,32.9,21.7,15.9,49.7,4.1,39.8,4.7,89.9,0.5,5.7,6.2,2.7,1.5,0.9,0.6,2.1,36.2,6,0,4.0,2014,12,False,0.6,F,55.0,-0.4,2014
14,Kyrie Irving,CLE,22,71,28,43,35.2,20.8,17.4,43.0,4.8,35.8,4.8,86.1,0.7,2.9,3.6,6.1,2.7,1.5,0.3,2.3,37.2,7,1,-3.1,2014,0,False,0.39,G,61.2,7.5,2014
15,Anthony Davis,NOP,21,67,29,38,35.2,20.8,15.0,51.9,0.1,22.2,6.6,79.1,3.1,7.0,10.0,1.6,1.6,1.3,2.8,3.0,46.0,36,0,-1.7,2014,0,False,0.43,F-C,51.0,-4.1,2014
16,Brook Lopez,BKN,26,17,7,10,31.4,20.7,13.5,56.3,0.1,0.0,6.8,81.7,2.3,3.7,6.0,0.9,1.6,0.5,1.8,3.1,34.6,0,0,-1.2,2014,0,False,0.41,C,39.5,-14.1,2014
17,Damian Lillard,POR,23,82,54,28,35.8,20.7,15.9,42.4,6.8,39.4,5.2,87.1,0.4,3.1,3.5,5.6,2.4,0.8,0.3,2.4,34.0,6,0,4.4,2014,0,True,0.66,G,55.7,2.4,2014
18,Isaiah Thomas,SAC,25,72,26,46,34.7,20.3,15.2,45.3,5.1,34.9,5.7,85.0,0.7,2.3,2.9,6.3,3.0,1.3,0.1,2.6,34.6,7,1,0.4,2014,0,False,0.36,G,59.4,6.1,2014
19,Goran Dragic,PHX,28,76,45,31,35.1,20.3,14.4,50.5,3.9,40.8,5.5,76.0,0.9,2.3,3.2,5.9,2.8,1.4,0.3,2.7,35.2,7,0,4.0,2014,0,True,0.59,G,51.4,-1.5,2014
20,Rudy Gay,SAC,27,73,27,46,34.7,20.0,16.2,45.5,2.7,33.0,5.3,82.2,1.5,4.4,6.0,2.9,3.1,1.3,0.8,2.3,34.6,11,0,-0.9,2014,0,False,0.37,F,55.9,0.2,2014
21,Ryan Anderson,NOP,26,22,12,10,36.1,19.8,16.1,43.8,7.5,40.9,2.8,95.2,3.0,3.5,6.5,0.8,0.9,0.5,0.3,2.1,30.1,4,0,1.4,2014,0,False,0.55,F,58.4,3.8,2014
22,John Wall,WAS,23,82,44,38,36.3,19.3,16.3,43.3,3.8,35.1,4.8,80.5,0.5,3.6,4.1,8.8,3.6,1.8,0.5,2.7,40.7,29,2,2.4,2014,0,False,0.54,G,65.7,12.5,2014
23,Chris Paul,LAC,29,62,44,18,35.0,19.1,14.0,46.7,3.4,36.8,5.6,85.5,0.6,3.7,4.3,10.7,2.3,2.5,0.1,2.5,45.6,39,0,8.5,2014,5,True,0.71,G,64.5,9.9,2014
24,Kevin Martin,MIN,31,68,32,36,32.0,19.1,15.0,43.0,4.4,38.7,5.0,89.1,0.5,2.5,3.0,1.8,1.6,1.0,0.1,1.8,27.0,1,0,2.6,2014,0,False,0.47,G,63.6,8.9,2014
25,Dwyane Wade,MIA,32,54,36,18,32.9,19.0,14.1,54.5,0.6,28.1,4.8,73.3,1.1,3.4,4.5,4.7,3.0,1.5,0.5,2.0,34.4,4,0,2.6,2014,8,False,0.67,G,55.9,1.2,2014
26,Monta Ellis,DAL,28,82,49,33,36.9,19.0,15.6,45.1,2.5,33.0,5.2,78.8,0.5,3.1,3.6,5.7,3.2,1.7,0.3,2.4,34.7,6,0,0.6,2014,0,False,0.6,G,64.2,9.0,2014
27,Jamal Crawford,LAC,34,69,47,22,30.4,18.6,14.7,41.6,6.5,36.1,4.7,86.6,0.5,1.8,2.3,3.2,2.0,0.9,0.2,1.7,27.3,2,0,3.9,2014,0,False,0.68,G,63.1,7.8,2014
28,Al Horford,ATL,28,29,16,13,33.0,18.6,14.5,56.7,0.4,36.4,2.9,68.2,2.3,6.1,8.4,2.6,2.2,0.9,1.5,1.9,37.7,9,0,2.5,2014,1,False,0.55,C-F,45.3,-9.7,2014
29,Klay Thompson,GSW,24,81,51,30,35.4,18.4,15.5,44.4,6.6,41.7,2.3,79.5,0.5,2.6,3.1,2.2,1.7,0.9,0.5,2.9,27.9,1,0,6.6,2014,0,False,0.63,G,48.8,-5.9,2014
30,Dwight Howard,HOU,28,71,48,23,33.8,18.3,11.3,59.1,0.1,28.6,9.0,54.7,3.3,8.9,12.2,1.8,3.2,0.8,1.8,3.4,40.4,47,0,4.8,2014,7,True,0.68,C-F,49.6,-5.8,2014
31,Arron Afflalo,ORL,28,73,21,52,35.0,18.2,13.8,45.9,4.1,42.7,4.6,81.5,0.4,3.2,3.6,3.4,2.0,0.5,0.0,1.9,27.2,1,0,-5.0,2014,0,False,0.29,G-F,68.3,13.5,2014
32,David Lee,GSW,31,69,42,27,33.2,18.2,14.2,52.3,0.0,0.0,4.3,78.0,2.6,6.7,9.3,2.1,2.2,0.7,0.4,3.0,33.6,34,0,6.8,2014,1,False,0.61,F,51.8,-4.0,2014
33,Paul Millsap,ATL,29,74,36,38,33.5,17.9,14.1,46.1,2.9,35.8,5.3,73.1,2.1,6.4,8.5,3.1,2.5,1.7,1.1,2.8,38.7,30,1,1.7,2014,0,False,0.49,F,54.6,-0.4,2014
34,Kyle Lowry,TOR,28,79,45,34,36.2,17.9,13.7,42.3,6.3,38.0,4.9,81.3,1.1,3.6,4.7,7.4,2.5,1.5,0.2,3.4,37.4,18,2,3.4,2014,0,False,0.57,G,56.1,2.6,2014
35,Thaddeus Young,PHI,26,79,18,61,34.4,17.9,16.2,45.4,3.7,30.8,2.9,71.2,2.1,3.9,6.0,2.3,2.1,2.1,0.5,2.7,34.2,11,0,-8.3,2014,0,False,0.23,F,60.0,5.6,2014
36,Brandon Knight,MIL,22,72,13,59,33.3,17.9,15.2,42.2,4.7,32.5,4.5,80.2,0.6,2.9,3.5,4.9,2.6,1.0,0.2,2.0,30.5,4,0,-6.1,2014,0,False,0.18,G,58.0,4.6,2014
37,Nick Young,LAL,29,64,21,43,28.3,17.9,13.9,43.5,5.5,38.6,4.5,82.5,0.5,2.1,2.6,1.5,1.5,0.7,0.2,2.4,24.4,0,0,-1.3,2014,0,False,0.33,F-G,61.8,6.0,2014
38,Eric Bledsoe,PHX,24,43,28,15,32.9,17.7,12.9,47.7,3.3,35.7,5.5,77.2,0.6,4.1,4.7,5.5,3.3,1.6,0.3,2.3,34.0,4,0,3.2,2014,0,False,0.65,G,57.2,3.9,2014
39,Kemba Walker,CHA,24,73,38,35,35.8,17.7,15.7,39.3,4.5,33.3,4.6,83.7,0.5,3.7,4.2,6.1,2.3,1.2,0.4,1.8,34.4,9,1,1.8,2014,0,False,0.52,G,53.6,0.4,2014
40,Ty Lawson,DEN,26,62,29,33,35.8,17.6,13.0,43.1,3.3,35.6,6.5,79.8,0.6,2.8,3.5,8.8,3.2,1.6,0.2,1.8,37.0,23,0,-0.8,2014,0,False,0.47,G,60.9,7.4,2014
41,Nikola Pekovic,MIN,28,54,27,27,30.8,17.5,13.0,54.1,0.0,0.0,4.6,74.7,3.8,4.9,8.7,0.9,1.6,0.6,0.4,2.4,30.7,23,0,5.1,2014,0,False,0.5,C,54.3,-1.0,2014
42,Zach Randolph,MEM,32,79,49,30,34.2,17.4,15.2,46.7,0.3,10.0,4.3,74.2,3.4,6.7,10.1,2.5,2.3,0.7,0.3,2.7,33.8,47,0,2.1,2014,1,False,0.62,F,56.4,0.8,2014
43,Pau Gasol,LAL,33,60,21,39,31.4,17.4,14.8,48.0,0.2,28.6,4.2,73.6,2.1,7.6,9.7,3.4,2.4,0.5,1.5,2.1,37.6,30,0,-5.9,2014,3,False,0.35,C-F,56.5,1.0,2014
44,Mike Conley,MEM,26,73,46,27,33.5,17.2,14.1,45.0,4.0,36.1,3.8,81.5,0.6,2.4,2.9,6.0,2.1,1.5,0.2,1.9,32.8,5,0,2.1,2014,0,False,0.63,G,63.0,9.4,2014
45,Bradley Beal,WAS,21,73,40,33,34.7,17.1,15.7,41.9,4.7,40.2,2.6,78.8,0.7,3.0,3.7,3.3,1.8,1.0,0.2,2.1,28.5,1,0,1.5,2014,0,False,0.55,G,57.6,4.0,2014
46,Jeff Green,BOS,27,82,25,57,34.2,16.9,14.3,41.2,4.8,34.1,4.3,79.5,0.7,4.0,4.6,1.7,2.0,0.7,0.6,2.2,26.7,2,0,-4.3,2014,0,False,0.3,F,57.4,1.9,2014
47,Tony Parker,SAS,32,68,51,17,29.4,16.7,13.4,49.9,1.0,37.3,3.6,81.1,0.3,2.0,2.3,5.7,2.2,0.5,0.1,1.3,27.7,2,0,4.0,2014,3,True,0.75,G,57.1,4.5,2014
48,Michael Carter-Williams,PHI,22,70,18,52,34.5,16.7,15.1,40.5,3.0,26.4,5.2,70.3,1.4,4.8,6.2,6.3,3.5,1.9,0.6,3.0,37.5,16,2,-6.4,2014,0,False,0.26,G,56.3,2.6,2014
49,Chandler Parsons,HOU,25,74,50,24,37.6,16.6,13.3,47.2,4.7,37.0,3.0,74.2,0.9,4.6,5.5,4.0,1.9,1.2,0.4,2.3,32.0,7,0,4.4,2014,0,False,0.68,F,60.2,4.6,2014
50,Jeff Teague,ATL,26,79,37,42,32.2,16.5,13.2,43.8,2.8,32.9,4.8,84.6,0.4,2.2,2.6,6.7,2.9,1.1,0.2,2.0,30.8,13,0,1.5,2014,0,False,0.47,G,64.6,11.8,2014
51,Josh Smith,DET,28,77,28,49,35.5,16.4,16.0,41.9,3.4,26.4,3.9,53.2,1.3,5.4,6.8,3.3,2.6,1.4,1.4,2.6,35.2,12,0,-2.5,2014,0,False,0.36,F,52.6,-2.5,2014
52,Wesley Matthews,POR,27,82,54,28,33.9,16.4,12.3,44.1,6.2,39.3,3.7,83.7,0.6,2.9,3.5,2.4,1.3,0.9,0.2,2.1,26.2,1,0,3.7,2014,0,False,0.66,G,53.3,-1.2,2014
53,Chris Bosh,MIA,30,79,53,26,32.0,16.2,12.1,51.6,2.8,33.9,3.4,82.0,1.2,5.4,6.6,1.1,1.6,1.0,1.0,2.4,30.2,6,0,5.7,2014,1,False,0.67,C-F,52.7,-1.6,2014
54,Gordon Hayward,UTA,24,77,23,54,36.4,16.2,13.4,41.3,3.6,30.4,4.9,81.6,0.8,4.3,5.1,5.2,2.8,1.4,0.5,2.0,33.2,9,0,-5.1,2014,0,False,0.3,G-F,53.9,-0.2,2014
55,Luol Deng,CLE,29,63,29,34,35.1,16.0,13.7,43.1,3.0,30.2,4.3,79.1,1.6,4.2,5.7,2.9,1.8,1.0,0.1,1.8,28.9,8,0,0.1,2014,0,False,0.46,F,58.7,3.9,2014
56,Derrick Rose,CHI,25,10,5,5,31.1,15.9,16.4,35.4,4.7,34.0,3.2,84.4,0.9,2.3,3.2,4.3,3.4,0.5,0.1,1.5,24.6,0,0,-3.2,2014,1,False,0.5,G,55.8,4.0,2014
57,Dion Waiters,CLE,22,70,28,42,29.6,15.9,14.2,43.3,3.6,36.8,3.4,68.5,0.5,2.3,2.8,3.0,2.2,0.9,0.2,2.2,25.0,1,0,-0.8,2014,0,False,0.4,G,57.6,3.1,2014
58,Gerald Green,PHX,28,82,48,34,28.4,15.8,12.3,44.5,6.2,40.0,2.8,84.8,0.6,2.8,3.4,1.5,1.8,0.9,0.5,2.7,24.4,0,0,0.5,2014,0,False,0.59,G-F,55.2,0.7,2014
59,Joe Johnson,BKN,33,79,43,36,32.6,15.8,12.9,45.4,5.1,40.1,2.5,81.5,0.6,2.8,3.4,2.7,1.5,0.6,0.1,1.6,24.6,0,0,0.7,2014,1,False,0.54,G,59.9,5.2,2014
60,Jodie Meeks,LAL,26,77,25,52,33.2,15.7,11.6,46.3,5.2,40.1,3.4,85.7,0.4,2.1,2.5,1.8,1.4,1.4,0.1,1.5,24.5,0,0,-6.6,2014,0,False,0.32,G,61.8,6.6,2014
61,Brandon Jennings,DET,24,80,28,52,34.1,15.5,14.2,37.3,5.7,33.7,4.0,75.1,0.7,2.3,3.1,7.6,2.7,1.3,0.1,2.0,32.0,18,0,-2.3,2014,0,False,0.35,G,64.4,12.3,2014
62,Eric Gordon,NOP,25,64,26,38,32.1,15.4,12.8,43.6,4.0,39.1,3.5,78.5,0.5,2.1,2.6,3.3,2.1,1.2,0.2,1.8,25.3,0,0,-4.2,2014,0,False,0.41,G,73.3,18.3,2014
63,Greg Monroe,DET,24,82,29,53,32.8,15.2,12.4,49.7,0.0,0.0,4.5,65.7,3.1,6.1,9.3,2.1,2.0,1.1,0.6,2.5,32.5,35,0,-1.8,2014,0,False,0.35,F-C,54.2,-0.1,2014
64,JJ Redick,LAC,30,35,24,11,28.2,15.2,11.4,45.5,5.3,39.5,3.0,91.5,0.3,1.9,2.1,2.2,1.2,0.8,0.1,1.9,22.5,0,0,6.1,2014,0,False,0.69,G,62.3,7.6,2014
65,Serge Ibaka,OKC,24,81,59,22,32.9,15.1,12.1,53.6,0.7,38.3,2.5,78.4,2.8,6.0,8.8,1.0,1.5,0.5,2.7,2.9,35.3,29,0,5.0,2014,0,False,0.73,F-C,47.5,-7.4,2014
66,Tim Duncan,SAS,38,74,56,18,29.2,15.1,12.2,49.0,0.1,0.0,4.3,73.1,2.1,7.6,9.7,3.0,2.1,0.6,1.9,1.8,36.5,30,0,4.1,2014,14,False,0.76,F,48.3,-7.1,2014
67,Avery Bradley,BOS,23,60,19,41,30.9,14.9,13.8,43.8,3.3,39.5,1.9,80.4,0.8,3.0,3.8,1.4,1.6,1.1,0.2,2.4,23.6,1,0,-2.1,2014,0,False,0.32,G,60.9,6.5,2014
68,Tobias Harris,ORL,21,61,16,45,30.3,14.6,11.7,46.4,2.1,25.4,4.0,80.7,1.4,5.5,7.0,1.3,1.3,0.7,0.4,2.3,26.9,7,0,-3.8,2014,0,False,0.26,F,59.6,4.5,2014
69,Marc Gasol,MEM,29,59,40,19,33.4,14.6,12.1,47.3,0.2,18.2,4.1,76.8,1.4,5.8,7.2,3.6,1.9,1.0,1.3,2.5,33.6,10,0,0.3,2014,1,False,0.68,C,50.1,-5.5,2014
70,JR Smith,NYK,28,74,34,40,32.7,14.5,12.9,41.5,6.5,39.4,1.9,65.2,0.5,3.5,4.0,3.0,1.5,0.9,0.3,2.6,25.7,1,0,0.0,2014,0,False,0.46,G-F,60.4,4.8,2014
71,Tyreke Evans,NOP,24,72,32,40,28.2,14.5,12.5,43.6,1.3,22.1,4.3,77.1,1.1,3.7,4.7,5.0,2.4,1.2,0.3,2.2,29.7,10,1,-2.8,2014,0,False,0.44,F-G,57.8,3.3,2014
72,Trevor Ariza,WAS,28,77,41,36,35.4,14.4,11.1,45.6,5.7,40.7,2.5,77.2,1.3,4.9,6.2,2.5,1.7,1.6,0.3,2.3,29.5,11,0,2.5,2014,0,False,0.53,F,67.2,11.7,2014
73,Jrue Holiday,NOP,24,34,15,19,33.6,14.3,13.4,44.7,2.3,39.0,1.9,81.0,0.8,3.4,4.2,7.9,3.1,1.6,0.4,2.7,34.1,9,0,0.7,2014,0,False,0.44,G,60.2,6.4,2014
74,Deron Williams,BKN,30,64,37,27,32.2,14.3,11.2,45.0,4.2,36.6,3.4,80.1,0.2,2.4,2.6,6.1,2.2,1.5,0.2,2.3,29.4,5,0,2.9,2014,2,False,0.58,G,55.1,1.8,2014
75,Nikola Vucevic,ORL,23,57,19,38,31.8,14.2,12.2,50.7,0.0,0.0,2.4,76.6,3.2,7.7,11.0,1.8,2.0,1.1,0.8,3.0,33.8,36,0,-3.1,2014,0,False,0.33,C,54.0,-1.2,2014
76,Gerald Henderson,CHA,26,77,40,37,32.0,14.0,12.1,43.3,1.5,34.8,4.0,76.1,0.4,3.6,4.0,2.6,1.5,0.7,0.4,2.1,24.5,0,0,-0.9,2014,0,False,0.52,G,46.5,-8.4,2014
77,Gerald Henderson,CHA,26,77,40,37,32.0,14.0,12.1,43.3,1.5,34.8,4.0,76.1,0.4,3.6,4.0,2.6,1.5,0.7,0.4,2.1,24.5,0,0,-0.9,2014,0,False,0.52,G,46.5,-8.4,2014
78,David West,IND,33,80,54,26,30.9,14.0,11.7,48.8,0.2,26.7,3.1,78.9,1.5,5.3,6.8,2.8,1.7,0.8,0.9,2.3,29.7,8,0,5.1,2014,0,False,0.68,F,47.6,-7.0,2014
79,Evan Turner,IND,25,81,29,52,30.3,14.0,12.6,42.5,1.9,32.1,3.2,81.3,0.8,4.3,5.0,3.2,2.3,0.8,0.1,2.4,25.3,9,0,-4.7,2014,0,False,0.36,F-G,62.4,7.0,2014
80,Alec Burks,UTA,22,78,24,54,28.1,14.0,10.7,45.7,1.8,35.0,4.8,74.8,0.8,2.5,3.3,2.7,1.9,0.9,0.2,2.4,23.3,0,0,-3.7,2014,0,False,0.31,G,61.8,7.3,2014
81,Rodney Stuckey,DET,28,73,27,46,26.7,13.9,11.7,43.6,1.2,27.3,4.0,83.6,0.5,1.8,2.3,2.1,1.7,0.7,0.1,1.8,20.7,0,0,-2.2,2014,0,False,0.37,G,65.9,10.6,2014
82,Lance Stephenson,IND,23,78,53,25,35.3,13.8,11.2,49.1,3.1,35.2,2.5,71.1,1.2,5.9,7.2,4.6,2.7,0.7,0.1,2.5,29.0,20,5,3.6,2014,0,False,0.68,G,52.9,-2.2,2014
83,Kobe Bryant,LAL,35,6,2,4,29.5,13.8,12.2,42.5,2.7,18.8,3.5,85.7,0.3,4.0,4.3,6.3,5.7,1.2,0.2,1.5,26.9,0,0,-5.3,2014,15,False,0.33,G,58.3,1.0,2014
84,Victor Oladipo,ORL,22,80,23,57,31.1,13.8,11.7,41.9,2.8,32.7,4.0,78.0,0.5,3.6,4.1,4.1,3.2,1.6,0.5,2.6,27.9,7,1,-3.4,2014,0,False,0.29,G,52.3,-2.0,2014
85,Markieff Morris,PHX,24,81,47,34,26.6,13.8,10.4,48.6,1.3,31.5,4.0,79.2,1.7,4.3,6.0,1.8,1.8,0.8,0.6,2.9,26.2,11,0,1.7,2014,0,False,0.58,F,57.8,2.7,2014
86,Carlos Boozer,CHI,32,76,43,33,28.2,13.7,12.9,45.6,0.0,0.0,2.5,76.7,1.8,6.5,8.3,1.6,2.0,0.7,0.3,2.8,27.0,25,0,-0.4,2014,1,False,0.57,F,59.9,5.7,2014
87,Kenneth Faried,DEN,24,80,36,44,27.2,13.7,10.3,54.5,0.0,0.0,3.9,65.0,3.0,5.6,8.6,1.2,1.7,0.9,0.9,2.4,29.3,27,0,-2.0,2014,0,False,0.45,F,53.5,-1.5,2014
88,Wilson Chandler,DEN,27,62,27,35,31.1,13.6,11.9,41.6,5.7,34.8,2.5,72.4,0.9,3.8,4.7,1.8,1.3,0.7,0.5,3.1,24.5,2,0,-2.8,2014,0,False,0.44,F,48.9,-6.6,2014
89,Andre Drummond,DET,20,81,29,52,32.3,13.5,9.5,62.3,0.0,0.0,4.0,41.8,5.4,7.8,13.2,0.4,1.4,1.2,1.6,3.4,37.3,57,0,-2.9,2014,0,False,0.36,C,52.6,-1.6,2014
90,Paul Pierce,BKN,36,75,42,33,28.0,13.5,9.5,45.1,4.0,37.3,4.1,82.6,0.3,4.3,4.6,2.4,2.0,1.1,0.4,2.5,25.2,1,0,0.9,2014,4,False,0.56,F,55.3,-0.3,2014
91,Derrick Favors,UTA,22,73,25,48,30.2,13.3,10.2,52.2,0.0,0.0,3.9,66.9,2.7,6.0,8.7,1.2,1.8,1.0,1.5,3.2,31.4,25,0,-4.6,2014,0,False,0.34,C-F,51.3,-3.6,2014
92,Andrea Bargnani,NYK,28,42,15,27,29.9,13.3,12.0,44.2,2.6,27.8,2.4,82.4,1.6,3.6,5.3,1.1,1.4,0.3,1.2,2.4,24.6,4,0,-2.9,2014,0,False,0.36,C-F,53.7,-1.6,2014
93,Jared Sullinger,BOS,22,74,23,51,27.6,13.3,12.1,42.7,2.8,26.9,2.7,77.8,3.3,4.9,8.1,1.6,1.6,0.5,0.7,3.4,27.2,22,0,-0.2,2014,0,False,0.31,C-F,54.2,0.3,2014
